BALANCE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,response
450000,31,-1,-1,-1,-1,10350,3629,3271,6271,3629,3271,6271,2135,default
60000,31,2,0,0,0,19921,20993,21736,23172,1700,1400,1800,0,notdefault
230000,30,2,2,2,2,212400,216409,221419,224753,9000,10000,8500,8500,default
140000,28,0,0,0,-1,5925,7729,0,150,2000,0,150,1550,notdefault
300000,34,0,0,0,0,1257,6467,7655,7507,5600,1500,0,300,notdefault
90000,39,0,0,0,0,36703,38089,40162,41422,2000,3000,2000,1600,notdefault
80000,31,-1,-1,-1,-1,6887,171,1125,1613,171,1125,1613,0,notdefault
110000,26,0,0,0,0,109386,99100,50827,51834,2432,3686,1850,1917,notdefault
90000,31,1,2,-1,0,8318,6111,33212,8978,39,33500,0,0,notdefault
10000,22,1,-1,0,0,0,7492,8589,9365,7492,1224,1000,175,notdefault
500000,39,-2,-2,-2,-2,2082,800,1440,600,803,1440,600,8170,notdefault
50000,45,0,-1,-1,-2,5339,1189,0,0,1189,300,0,0,notdefault
360000,40,1,-2,-1,0,-242,-3748,5512,4102,649,10000,0,1756,notdefault
250000,44,-1,-1,-1,2,3893,54673,8402,2765,54946,8433,13,6049,notdefault
50000,27,2,0,0,0,48387,47637,48479,18616,2300,2100,1000,1000,default
510000,35,-1,0,0,0,2115,2116,5560,4535,1117,4560,91,69,notdefault
90000,28,0,0,0,0,69186,72450,73798,74682,5000,3158,2600,6000,notdefault
70000,45,0,0,0,0,67062,68622,28236,30750,3000,1500,3000,5000,notdefault
360000,38,-1,-1,-1,-1,1873,13532,5757,28974,13537,5762,29000,8093,notdefault
90000,30,-1,-1,-1,-1,2629,1076,1613,993,1079,1617,996,7904,notdefault
360000,29,0,0,0,-2,229928,32890,-10,-10,4905,0,0,2160,notdefault
30000,23,0,0,0,0,20059,21061,22092,23104,1641,1672,1684,1000,default
160000,36,-1,-1,0,-1,9330,31745,22829,6000,31745,1049,6000,6000,notdefault
30000,47,0,0,0,0,28923,29803,25373,23231,1586,1365,1663,5106,notdefault
40000,38,0,0,0,0,38491,36881,37968,36155,3000,2000,1500,1500,notdefault
150000,42,0,0,0,0,49728,47784,47449,47987,5000,6000,3000,1700,notdefault
170000,28,0,0,0,0,56061,57179,58450,58556,2051,2197,1934,1793,notdefault
130000,23,0,0,0,-2,8690,9500,0,0,1000,0,0,0,notdefault
90000,26,0,0,0,0,14692,15722,16733,17453,1269,1280,1000,950,notdefault
220000,32,1,2,0,0,17325,16758,18474,20667,0,2000,2500,0,notdefault
140000,28,1,-2,-2,-2,0,0,0,0,0,0,0,50000,notdefault
20000,22,0,0,0,0,18535,18541,18270,16992,5109,1600,2400,3800,default
500000,34,1,-1,-1,2,0,198,198,198,198,0,0,115399,default
30000,22,0,0,-1,0,8922,6698,187,1187,1275,187,1000,0,notdefault
300000,40,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
290000,38,-2,-2,-2,-1,0,130,0,24756,130,0,24756,899,notdefault
50000,41,0,0,0,-2,48729,19598,0,0,1000,402,0,0,notdefault
170000,56,-1,-1,-1,-1,390,17450,13366,17446,17450,13366,20894,17056,notdefault
50000,48,0,0,0,0,44338,43048,35639,18753,3629,3332,2000,2000,notdefault
30000,28,2,2,2,2,19334,20218,19607,21778,1500,0,2500,1000,notdefault
140000,53,0,0,0,0,142270,144418,143728,125158,5357,5829,6240,3500,notdefault
180000,34,-1,-1,-1,-1,13067,6170,3439,1193,6170,3444,1193,381,notdefault
20000,52,0,0,0,2,10248,11271,13513,12999,1501,2743,0,1686,default
30000,30,1,2,2,2,4318,5096,6353,7092,1000,1500,1000,1000,notdefault
160000,30,-1,2,2,-1,6548,3200,0,4775,7,0,4775,456,notdefault
100000,36,2,0,0,2,99298,101972,115335,112016,5220,16608,0,4233,default
450000,37,1,2,0,0,387192,379442,387398,395655,0,14062,14700,14500,default
50000,48,-1,-1,-1,-1,1058,1726,390,390,1726,390,390,390,default
50000,39,0,0,0,0,48493,49073,50370,29862,2109,2406,1278,1036,notdefault
500000,37,1,2,0,0,5186,3985,3935,4861,0,1101,1027,117,notdefault
360000,38,0,0,0,0,277523,117239,121284,93951,4013,90054,9011,3007,notdefault
230000,41,-2,-2,-2,-2,34578,495,502,944,495,502,950,5820,notdefault
140000,52,-1,-1,-1,-1,850,12340,14910,44967,12340,14910,44967,11669,notdefault
20000,38,0,0,0,0,8337,11191,12219,14009,3000,1210,2000,2000,default
60000,36,2,2,2,2,48547,49446,49857,50737,2000,1500,2000,3000,default
350000,30,-1,0,-1,-1,18265,31619,2071,2915,16158,2081,2929,1016,notdefault
610000,50,-1,-1,-1,-1,10579,11299,7380,3755,11299,9710,3769,20515,notdefault
200000,35,-2,-2,-2,-2,3023,3965,6843,1320,3965,6880,1320,5983,notdefault
280000,47,-2,-2,-1,0,12477,13915,67119,53044,13987,69805,1711,26743,notdefault
260000,37,1,2,2,2,58261,59706,60969,59400,3000,2800,0,2500,notdefault
70000,27,-1,-1,-1,-1,157,157,157,157,157,157,157,157,notdefault
50000,23,0,0,0,0,18975,19763,21081,21432,1400,1649,1000,1000,notdefault
40000,26,2,2,2,2,5678,9900,9592,10433,4500,0,1000,400,default
80000,43,-1,-1,0,0,435,4495,5333,7136,4495,1500,2500,1000,notdefault
300000,30,-2,-1,-1,-1,900,195,1442,1740,195,1542,1748,3890,notdefault
330000,41,0,0,0,0,76279,79179,82293,86458,4179,5000,6458,6512,notdefault
290000,34,-1,-1,-1,-1,8690,-204,3268,302,0,3600,800,5228,notdefault
50000,33,-1,2,2,2,36363,35483,48256,47098,0,13500,0,0,notdefault
140000,24,-1,-1,-1,-1,16343,1462,4326,6380,1462,4326,6398,48866,default
100000,46,2,2,2,2,43677,42674,45983,46927,0,4000,2000,1900,default
450000,26,0,0,0,-1,20571,37283,43482,5626,20000,20006,5676,74306,notdefault
220000,45,1,2,0,0,157122,153320,156996,158717,0,7600,5700,6000,notdefault
210000,41,0,0,-1,-1,59071,58830,364,-649,2000,17864,569,0,notdefault
30000,44,-1,0,-1,0,21043,21183,1754,666,1196,1757,2,1443,notdefault
380000,32,-1,-1,-1,-1,326,24899,2816,11773,24899,2816,11773,23397,notdefault
280000,34,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
120000,55,0,0,0,0,102735,80762,77846,77404,3000,3000,2655,2664,notdefault
10000,56,1,2,2,2,12006,6367,9839,6998,1000,4000,0,0,notdefault
20000,25,2,2,2,2,8880,9889,10087,9585,1500,700,0,1000,notdefault
50000,25,2,0,0,0,47987,49084,46759,8195,2690,2359,293,304,default
50000,29,0,0,2,0,48632,52100,50611,50411,4600,0,2200,900,notdefault
50000,23,0,0,0,0,48409,39572,16922,19319,1605,1603,3000,0,notdefault
400000,40,-1,-1,-2,-1,4750,0,0,2827,0,0,2827,0,default
150000,35,0,0,0,0,129564,125063,118843,137751,10076,10050,30000,5000,notdefault
80000,42,-2,-2,-2,-2,10593,41217,8815,24012,41217,8815,24012,1153,notdefault
140000,28,0,0,0,0,115743,117357,112527,91802,5000,5000,3600,4000,notdefault
120000,46,-1,-1,-2,-2,4940,0,0,0,0,0,0,0,default
150000,30,-1,-1,0,0,35213,115041,135090,80085,115041,66066,2031,35940,notdefault
150000,38,-2,-2,-2,-2,1736,0,0,0,0,0,0,0,notdefault
30000,26,1,2,0,0,30739,29586,29412,18587,0,1331,49,5,default
300000,31,-2,-2,-2,-2,1555,1599,900,11019,1603,902,11117,3462,notdefault
150000,30,1,-2,-2,-2,0,0,0,0,0,0,0,268,notdefault
240000,44,0,0,0,0,47315,34623,34347,36082,3000,3500,9700,4000,notdefault
130000,30,2,0,0,2,112822,115526,123658,120259,4527,10122,1,4355,default
30000,43,0,0,0,0,23101,16480,15459,15366,1481,1400,307,314,notdefault
210000,28,-1,-1,-1,-1,5850,4388,3638,7489,4388,3638,7489,2684,notdefault
230000,29,0,0,0,0,24524,24897,22219,23512,3000,4000,3047,3000,notdefault
180000,35,-2,-2,-2,-2,7210,370,8479,792,370,8875,792,3826,notdefault
80000,39,2,0,0,2,62281,63774,68204,69484,2500,5500,3000,0,default
170000,26,0,0,0,0,22680,13827,9522,10254,2000,2000,2000,0,notdefault
20000,40,0,0,0,0,19088,13828,9290,6636,1248,1200,1156,1000,notdefault
130000,37,1,2,2,2,67612,65997,70604,68904,0,6300,0,2700,default
80000,24,0,0,0,0,47952,45713,46752,46375,1732,1771,1714,1632,notdefault
360000,40,-2,-2,-2,-2,5772,11664,15390,7090,11694,10048,35,2126,notdefault
310000,27,-2,-2,-2,-2,68928,43431,61756,88416,43894,61816,39022,10041,notdefault
20000,36,0,0,0,0,12530,13518,14596,15550,1500,1600,1500,1500,notdefault
360000,51,1,-2,-1,-1,0,0,390,540,0,780,540,540,notdefault
60000,35,1,2,2,2,5601,5366,6772,6515,0,1500,0,1500,notdefault
240000,51,0,0,0,0,225614,232072,204121,171051,10473,8000,30000,6000,notdefault
50000,54,0,0,0,0,48065,48968,47368,9515,2082,1672,500,500,notdefault
300000,62,-2,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
20000,23,0,0,0,0,17030,18064,19046,19221,1315,1297,672,675,notdefault
300000,33,-1,-1,-1,-1,4499,0,2299,900,0,2299,900,1400,notdefault
130000,38,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
220000,37,2,2,0,0,185955,181587,186054,188465,0,9000,7000,7500,notdefault
190000,26,0,0,0,0,155260,136185,139013,140035,7416,6900,5100,10000,notdefault
10000,22,0,0,0,0,4060,2774,3764,4001,1300,1200,300,1200,notdefault
170000,39,0,0,0,0,138811,136227,136893,122820,5505,4849,4614,4600,notdefault
20000,37,0,0,0,-1,8400,2000,0,2000,1000,0,2000,0,default
240000,37,0,0,0,0,219099,217058,187841,186140,8131,8123,6700,10000,notdefault
170000,31,0,0,0,-1,20625,21386,0,522,1700,0,522,0,notdefault
80000,50,-1,-1,-1,0,2587,2587,50097,48753,2587,50097,2000,2000,notdefault
50000,34,2,2,2,2,20377,19427,19590,19209,1650,800,200,674,notdefault
110000,55,-1,2,2,-1,632,316,0,632,0,0,948,0,notdefault
20000,55,0,0,0,0,16734,17748,18384,18976,1300,1314,1296,665,default
50000,45,0,0,0,0,48406,49880,47206,19189,2286,1302,678,695,default
260000,37,-2,-2,-2,-2,5275,-200,-200,2515,0,0,2715,0,notdefault
50000,24,0,0,0,0,49144,20818,17890,18310,1500,1300,700,1000,notdefault
90000,27,-1,-1,0,0,1767,17684,18382,21415,17684,3000,5000,3000,notdefault
120000,30,1,-2,-1,-1,0,0,1990,0,0,1990,0,0,notdefault
70000,30,0,0,0,2,10149,11454,9638,8761,2000,2000,0,1000,notdefault
360000,42,0,0,0,0,429169,278515,259097,259999,16629,9519,9367,10001,notdefault
280000,39,0,0,0,0,273651,279296,282851,251648,11128,11234,11002,10000,notdefault
70000,24,0,0,-2,-1,16366,15500,9660,6208,1000,9660,6208,702,notdefault
160000,29,-2,-2,-2,-2,386,4194,196,7730,4194,196,7741,3113,notdefault
130000,27,0,0,0,0,128137,109868,108167,102584,4000,4019,4017,3100,notdefault
230000,37,0,0,0,0,16302,15849,16884,17620,1265,1300,1001,1000,notdefault
260000,36,-1,-1,-2,-1,531,0,0,1245,0,0,1245,0,notdefault
460000,61,0,-1,-1,-1,10643,1547,1670,6425,1600,1800,6500,5000,notdefault
230000,30,-2,-2,-2,-2,0,0,846,846,0,846,846,0,notdefault
20000,35,2,2,3,2,15087,16133,17174,16605,1600,1600,0,1000,notdefault
380000,37,-1,-1,-1,-1,15019,4162,2107,0,4472,2107,0,1630,notdefault
150000,25,-1,-1,-2,-1,6156,0,0,316,0,0,316,316,notdefault
20000,24,-1,-1,2,-1,1371,796,398,796,796,0,796,0,notdefault
10000,58,0,0,0,0,7569,8598,9590,9782,1158,1150,335,346,notdefault
500000,35,1,-1,-1,-1,-453,1168,1215,6461,2336,1215,6461,2567,notdefault
80000,25,0,0,0,0,69816,71257,72812,74305,2600,2700,2700,2800,notdefault
170000,39,-1,-1,-1,-1,1803,217,10121,12180,218,10121,12180,5011,notdefault
110000,34,0,0,0,0,24147,25750,27012,27762,2000,2000,1500,5000,notdefault
30000,33,1,2,2,0,24457,25474,26241,25388,1716,1500,911,1400,default
150000,47,-1,-1,-1,-1,4003,2877,3190,389,2891,3205,390,390,notdefault
170000,35,0,0,0,0,144606,136269,139337,141018,5007,7004,7008,5005,notdefault
50000,45,0,0,0,0,47823,48468,50955,49813,3144,3878,3000,2500,notdefault
180000,41,0,-1,-1,-1,16366,18339,2766,97996,18339,2766,97996,1861,notdefault
210000,43,1,-2,-2,-2,0,0,0,0,0,0,0,0,default
220000,30,1,2,0,0,5627,5391,6442,7458,0,1300,1281,1000,default
180000,40,-1,-1,-1,0,991,991,1316,325,991,1316,0,1657,notdefault
180000,36,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
50000,34,2,2,2,0,46843,49378,48052,48573,4310,0,2033,1119,notdefault
270000,57,-2,-2,-2,-2,13559,736,316,5116,736,316,5116,15884,notdefault
290000,40,0,0,0,0,97193,98441,95169,93718,6000,4000,4250,5000,notdefault
20000,45,0,0,0,0,19473,19868,16749,17538,1896,1417,1206,284,notdefault
50000,49,0,0,0,0,49195,48496,49412,49590,47000,2000,1000,0,default
270000,31,-2,-2,-2,-2,973,417,1593,913,592,1593,913,1471,notdefault
90000,27,0,0,0,0,85822,83206,74030,70198,3327,3471,3199,2964,notdefault
30000,24,2,2,2,0,31202,32801,30092,30148,2415,0,1045,915,default
50000,30,0,0,0,0,42326,19067,7690,8322,1500,1500,1000,200,notdefault
80000,38,-2,-2,-2,-2,2431,29426,5288,1823,31386,5296,1823,19884,notdefault
200000,26,0,0,0,0,121830,91216,93099,94949,3311,3400,3400,3512,notdefault
160000,28,-1,-1,-1,-1,5171,3634,4436,1978,3634,4436,1978,3781,notdefault
230000,39,0,0,0,0,38395,39943,20650,0,2500,2000,0,0,notdefault
200000,43,0,0,-1,0,202225,-4359,190829,96686,1029,200000,10000,5000,notdefault
150000,35,2,2,2,2,144194,145889,146189,146838,6600,5300,5600,5500,default
90000,26,0,0,0,0,92472,92518,91504,91706,4600,4100,3900,4000,notdefault
50000,50,2,0,0,0,48381,47810,48123,51060,2200,2100,4000,0,default
450000,37,0,0,0,0,16259,15026,17363,11708,6000,4000,6000,5000,notdefault
200000,49,-1,-1,2,0,3024,11080,8736,26383,10000,0,20000,10000,notdefault
160000,39,0,0,0,0,32930,20090,49448,38415,14000,40015,1625,32044,notdefault
50000,34,0,0,-1,-1,4166,0,4166,0,0,4166,0,0,notdefault
80000,26,0,0,0,0,79565,78617,79229,77858,3481,3000,3000,3000,notdefault
80000,45,0,0,0,0,28775,28951,26813,27383,1442,1459,1500,1000,notdefault
110000,62,0,0,0,0,65932,66740,68170,69634,2500,2500,2600,5519,notdefault
360000,45,1,-1,-1,-2,0,709,0,0,709,0,0,0,notdefault
100000,29,4,3,2,0,175441,153992,132132,114431,0,0,0,2335,default
20000,46,0,0,0,2,7790,9985,12001,13978,2500,2500,2500,2500,notdefault
150000,27,-2,-2,-2,-2,5200,1689,-17,3996,1689,0,4013,2278,notdefault
240000,27,-2,-1,-1,-1,5886,5055,8774,1854,5055,8774,1854,0,notdefault
10000,29,0,0,0,0,9073,9036,7385,7665,1120,1117,1127,279,notdefault
100000,26,-1,0,0,0,53743,52320,46686,44497,3000,2500,3000,2000,notdefault
500000,28,0,0,0,0,22848,23638,18878,14937,1516,1300,1000,1000,default
170000,50,-1,-1,-1,-1,1978,2191,3185,0,2191,3185,0,582,notdefault
200000,32,0,0,0,0,196550,178609,180357,168935,8001,6500,6146,3300,notdefault
60000,35,-1,0,0,0,60130,60655,56106,29270,3007,3015,5000,2000,notdefault
170000,39,0,0,0,0,91289,74457,64374,63936,2486,2430,2224,1957,notdefault
620000,38,-1,-1,-1,-1,12136,7938,620,16022,8638,620,16032,2856,notdefault
150000,27,-2,-2,-2,-1,-3706,-6108,32662,59350,3449,46128,60260,30218,notdefault
50000,27,0,0,0,0,47452,48663,50297,36164,2000,2500,2000,2000,default
290000,41,-1,-1,-2,-1,2025,0,0,9194,0,0,9194,0,notdefault
500000,30,0,0,0,0,449733,425268,489942,437809,20120,120063,40000,12389,notdefault
200000,34,-1,-1,-2,-2,6093,4297,15765,3997,4310,15818,4009,4945,notdefault
30000,42,1,2,2,2,31217,30406,31380,30277,0,3600,0,1100,notdefault
170000,36,-1,-1,-1,-1,37830,11160,4336,947,11376,4346,947,316,notdefault
50000,31,-1,-1,-1,-1,422,1334,3962,0,1532,3962,0,660,default
160000,23,0,0,0,0,17920,17195,17164,7175,2000,3181,3012,1942,notdefault
50000,43,0,0,0,0,48474,48388,38972,47584,2334,1918,12530,1001,notdefault
260000,51,-2,-2,-2,-2,1821,7091,1546,37708,7091,1555,37708,303,notdefault
210000,33,-2,-2,-1,-1,0,0,106669,13333,0,106669,13333,12780,default
180000,40,0,0,0,0,123705,126429,20650,7751,6019,1074,2038,819,notdefault
150000,38,-1,-1,0,0,5584,1106,2199,2997,1106,1208,1006,50000,notdefault
70000,27,0,0,0,0,70119,68536,66601,29401,3600,1646,600,28468,notdefault
230000,41,0,0,0,0,166988,170603,172056,172615,8000,7500,6500,6500,notdefault
410000,42,-1,-1,-1,2,12327,2306,4054,3830,2324,4204,0,3160,notdefault
20000,25,0,0,-1,-1,3556,3271,798,798,1481,798,798,798,notdefault
120000,52,2,2,2,2,112593,112623,115258,119620,3300,6000,7800,1500,notdefault
190000,40,0,0,0,0,58783,59881,136994,118268,3100,80000,5000,4000,notdefault
170000,30,0,-1,0,0,10392,168088,168955,161351,168096,6409,7335,4448,notdefault
80000,27,1,-2,-2,-2,0,0,0,0,0,0,0,0,notdefault
80000,47,0,0,-1,-1,4762,3235,1970,0,1000,1970,0,0,notdefault
40000,48,0,0,0,0,38549,37924,37648,38804,2000,1700,2000,2000,notdefault
130000,27,1,-1,0,-1,0,1386,5275,198,1386,4000,198,3992,notdefault
220000,44,0,0,0,0,136838,142250,149864,155828,10000,10000,10000,25000,notdefault
580000,33,0,0,0,0,18812,15408,20629,10682,2000,10053,8017,6788,notdefault
400000,29,-1,-1,-1,-1,6748,7777,20192,17337,7777,20192,17337,0,notdefault
200000,37,-1,-1,-1,-1,390,31638,770,2108,31638,770,2118,0,default
10000,30,3,2,2,7,2300,2300,2300,2300,0,0,0,0,default
440000,33,0,0,0,0,164269,160608,150150,139178,5666,5802,3577,2955,notdefault
270000,52,0,-1,-1,-1,18758,4937,2000,9078,4937,2000,9078,0,notdefault
200000,30,-1,-1,-1,-2,15176,2693,6632,0,2715,6632,0,734,notdefault
320000,41,0,0,0,0,95155,97797,99672,101953,4400,4520,5050,3590,notdefault
280000,31,0,0,0,0,266511,269245,268332,271904,9557,10001,8585,4761,notdefault
360000,37,-1,-1,0,-1,10000,17444,17165,10000,17444,10035,10000,10000,notdefault
20000,33,0,0,0,0,36658,19253,20179,18800,4000,1409,0,1000,notdefault
20000,28,1,2,0,0,8055,7777,8805,12647,0,1158,4000,0,default
50000,28,0,0,0,0,36380,51418,43095,29717,30000,2052,1034,1100,default
340000,29,-1,-1,-1,2,2688,11432,12411,9119,11486,12824,10,29047,notdefault
50000,56,0,0,0,0,50715,51073,28185,28842,2500,1500,1100,2000,default
50000,31,0,0,0,0,47533,48640,49483,40850,2200,2000,3000,0,notdefault
150000,33,0,0,0,0,78038,63176,52807,34199,5000,10116,5000,6000,notdefault
210000,30,-1,2,-1,-1,857,1030,380,705,725,380,705,705,notdefault
50000,33,0,0,0,0,45853,44206,34713,19474,5435,2109,1576,1000,notdefault
180000,33,2,2,0,0,159999,156038,159924,162775,0,8000,7000,15000,default
140000,35,1,2,2,0,147946,150934,136222,124871,7000,10,6015,4000,notdefault
160000,31,-1,-1,-1,0,1790,0,31568,17638,0,31568,353,1285,notdefault
500000,33,-2,-2,-2,-2,10486,32539,10644,7780,32648,11000,7823,19215,notdefault
70000,28,0,0,2,0,24510,25807,26578,27826,2000,1500,2000,2500,notdefault
30000,31,0,0,0,0,16207,16735,18253,19646,4000,5000,5000,5000,notdefault
170000,40,-2,-2,-2,-2,6115,868,2687,2885,872,2700,2899,2102,notdefault
140000,35,-2,-2,-2,-2,2000,0,0,0,0,0,0,0,notdefault
60000,37,0,0,0,0,54770,58257,59675,60646,5000,3000,2500,2500,default
60000,42,0,0,0,0,99114,97895,94204,95986,3700,3000,4000,1500,notdefault
70000,28,1,-1,-1,2,-47,653,3455,3245,700,3000,0,0,default
50000,23,0,0,0,0,18666,15554,17159,8402,2000,2000,1500,500,notdefault
